keys,mouse_distance,tab_switches,backspace,fatigue_score,risk_index
7,1063.59,1,3,7.1811,2
10,213.52,0,1,2.1397,0
18,496.3,1,2,5.7664,1
24,671.11,0,1,1.3852,0
26,602.85,0,1,1.3467,0
22,289.05,0,2,3.6096,1
20,459.33,1,1,3.3055,1
26,466.0,0,1,1.2694,0
18,617.11,1,1,3.8446,1
22,594.78,0,2,3.7821,1
18,387.31,0,2,3.665,1
23,748.37,0,1,1.4288,0
0,167.58,0,0,0.854,0
16,643.13,1,1,3.8593,1
23,353.59,0,2,3.646,1
21,548.11,0,1,1.3158,0
21,649.36,1,0,2.1548,0
21,638.88,0,1,1.367,0
18,396.52,0,1,1.2302,0
19,828.89,0,1,1.4743,0
25,129.77,0,1,1.108,0
21,628.97,0,1,1.3614,0
24,423.28,0,1,1.2453,0
24,457.91,1,2,5.7447,1
0,135.34,0,1,1.35,0
22,531.33,0,1,1.3063,0
18,534.88,0,2,3.7483,1
18,600.49,0,0,0.0,0
18,416.02,0,1,1.2412,0
22,1123.65,0,2,4.5684,1
22,646.38,0,0,0.0,0
18,482.46,0,1,1.2787,0
13,209.01,0,0,0.3437,0
22,300.79,1,1,3.216,1
26,421.62,0,0,0.0,0
15,454.8,0,0,0.0,0
0,222.71,0,0,0.8781,0
24,119.99,0,2,3.548,1
21,369.29,0,2,3.6548,1
20,383.51,0,1,1.2229,0
20,852.39,0,1,1.4866,0
15,539.44,1,0,1.6427,0
27,683.72,0,0,0.0,0
27,238.47,2,0,3.4636,1
15,414.24,0,0,0.0,0
23,451.11,0,2,3.701,1
15,568.97,0,0,0.0,0
30,1141.05,0,2,4.5711,1
0,151.15,0,1,1.35,0
21,321.15,0,1,1.1877,0
17,469.03,0,0,0.0,0
21,465.1,1,0,1.6008,0
12,393.01,0,0,0.4761,0
28,888.94,0,2,3.9322,1
18,239.31,1,0,1.4733,0
16,968.26,0,0,0.0,0
24,301.36,1,0,1.5083,0
22,465.54,1,2,5.749,1
17,1052.04,0,1,2.1173,0
14,537.97,0,0,0.501,0
0,277.6,0,1,1.35,0
19,562.88,0,0,0.0,0
21,409.6,0,0,0.0,0
22,837.87,0,0,0.0,0
14,199.0,0,0,0.3096,0
29,460.51,0,0,0.0,0
27,256.45,0,0,0.0,0
23,413.19,0,1,1.2396,0
19,574.27,0,0,0.0,0
20,641.67,1,0,2.1504,0
20,314.49,1,1,3.2238,1
16,426.49,0,1,1.2471,0
0,114.1,0,1,1.35,0
18,427.91,0,0,0.0,0
23,794.23,0,3,4.1287,1
17,450.75,0,1,1.2608,0
21,261.43,0,1,1.154,0
21,1053.84,0,0,0.4096,0
16,436.78,0,1,1.2529,0
17,569.43,0,1,1.3278,0
16,356.09,0,1,1.2074,0
19,266.27,0,2,3.5967,1
31,383.52,1,0,1.5547,0
26,479.26,0,2,3.7169,1
0,98.63,0,1,1.35,0
31,216.77,1,1,3.1686,1
29,1139.11,2,0,5.1534,1
18,1067.25,0,2,4.5597,1
19,671.01,0,0,0.0,0
18,470.56,0,0,0.0,0
19,441.39,0,0,0.0,0
17,603.74,0,1,1.3472,0
21,577.39,1,1,3.3722,1
20,341.26,0,0,0.0,0
20,960.5,0,1,1.5032,0
22,332.13,0,0,0.0,0
0,288.73,0,1,1.35,0
26,557.8,0,1,1.3213,0
11,704.04,1,2,7.3179,2
14,396.26,1,1,4.1688,1
20,435.72,1,1,3.2922,1
19,533.56,0,2,3.7476,1
7,447.89,1,1,4.3972,1
21,418.18,0,1,1.2424,0
22,880.02,0,0,0.0,0
24,427.72,0,1,1.2478,0
21,426.42,0,1,1.2471,0
29,759.03,1,1,3.9247,1
0,451.83,0,1,1.35,0
22,682.16,0,1,1.3915,0
20,346.57,0,1,1.202,0
14,672.12,0,4,4.9077,1
20,757.67,0,0,0.0,0
29,660.77,0,2,3.8194,1
20,242.16,0,2,3.5831,1
28,640.26,1,1,3.8576,1
15,1049.83,0,1,2.117,0
22,754.17,0,1,1.4321,0
9,566.96,0,1,2.3677,0
22,855.57,0,1,1.4871,0
0,194.98,0,1,1.35,0
12,824.71,0,1,2.4278,0
24,374.39,0,0,0.0,0
25,551.23,0,2,3.7576,1
21,310.06,1,1,3.2213,1
19,584.35,0,0,0.0,0
15,472.5,1,0,1.6049,0
16,319.1,0,0,0.0,0
24,502.51,1,1,3.3299,1
24,685.2,2,1,5.8738,1
32,454.86,0,0,0.0,0
28,399.31,0,1,1.2318,0
0,404.05,0,0,0.9805,0
12,224.64,1,1,4.1289,1
16,596.72,0,2,3.7832,1
21,189.19,0,2,3.5532,1
20,396.21,1,2,5.7099,1
24,530.41,0,0,0.0,0
21,616.61,0,0,0.0,0
19,543.29,1,0,1.6449,0
18,614.66,1,0,2.1352,0
19,682.49,1,1,3.8815,1
14,173.92,0,2,4.4469,1
17,664.88,1,2,6.3115,2
0,281.76,0,1,1.35,0
27,1119.1,0,0,0.4197,0
27,520.27,0,0,0.0,0
17,174.28,1,0,1.4398,0
18,676.79,0,3,4.0624,1
13,586.42,1,0,2.5966,0
22,471.16,0,1,1.2724,0
25,366.9,0,1,1.2135,0
15,356.06,0,1,1.2074,0
19,572.31,1,1,3.3693,1
27,424.59,0,1,1.2461,0
25,427.07,0,1,1.2475,0
0,302.17,0,1,1.35,0
19,576.73,1,1,3.3718,1
30,515.26,1,0,1.6291,0
30,313.95,1,1,3.2235,1
22,316.66,1,0,1.517,0
10,254.18,1,0,2.4945,0
19,926.19,0,0,0.0,0
15,576.5,0,1,1.3318,0
19,540.77,0,0,0.0,0
18,734.05,0,1,1.4207,0
20,1071.49,1,1,4.6102,1
27,520.13,0,2,3.74,1
0,253.75,0,1,1.35,0
16,594.67,0,1,1.3421,0
23,738.76,1,2,6.3532,2
19,599.87,0,1,1.345,0
25,97.09,1,2,5.5878,1
10,171.09,0,1,2.1208,0
24,517.39,0,1,1.2984,0
17,1032.49,0,1,2.1143,0
17,602.32,1,0,2.1282,0
19,521.89,0,0,0.0,0
24,575.82,0,1,1.3314,0
17,697.52,0,2,3.8401,1
0,153.28,0,1,1.35,0
16,793.87,0,0,0.0,0
27,402.64,0,0,0.0,0
21,556.81,0,1,1.3207,0
18,292.95,0,2,3.6118,1
22,155.53,0,2,3.548,1
17,752.52,0,1,1.4312,0
16,128.98,1,2,5.5878,1
21,460.57,0,1,1.2664,0
19,544.75,0,0,0.0,0
24,645.79,1,2,6.3008,2
23,565.21,0,2,3.7654,1
0,250.42,0,0,0.8938,0
16,272.9,1,0,1.4923,0
16,484.45,0,2,3.7199,1
20,331.58,1,0,1.5254,0
24,464.88,0,1,1.2688,0
23,541.35,1,0,1.6438,0
20,557.65,0,0,0.0,0
21,179.94,0,2,3.548,1
26,444.45,0,1,1.2573,0
8,245.6,1,1,4.2546,1
15,657.17,1,1,3.8672,1
14,1223.54,0,2,4.8827,1
0,125.54,0,1,1.35,0
21,900.69,1,1,3.9839,1
18,136.61,0,0,0.0,0
18,385.47,1,2,5.7038,1
21,109.51,0,1,1.108,0
17,780.38,0,1,1.4469,0
17,619.05,0,2,3.7958,1
22,129.17,1,0,1.4398,0
21,551.76,1,1,3.3577,1
16,217.82,0,2,3.5693,1
21,364.93,0,1,1.2124,0
18,507.06,2,1,5.3233,1
0,191.84,0,1,1.35,0
17,409.44,0,1,1.2375,0
15,0.0,0,1,1.108,0
33,410.84,0,1,1.2383,0
18,437.03,0,1,1.2531,0
14,627.5,1,1,4.7493,1
13,653.82,0,3,4.3768,1
21,425.79,1,1,3.2866,1
23,119.25,0,0,0.0,0
18,906.52,0,0,0.0,0
28,257.18,0,0,0.0,0
22,308.81,0,2,3.6207,1
0,393.38,0,1,1.35,0
18,127.77,1,1,3.1478,1
15,424.68,0,2,3.6861,1
11,144.56,1,2,6.5721,2
17,629.34,0,1,1.3616,0
16,210.3,0,0,0.0,0
22,1024.17,0,1,2.113,0
22,463.28,0,1,1.2679,0
23,775.38,0,1,1.4441,0
18,394.6,0,1,1.2291,0
27,399.06,0,2,3.6717,1
22,445.93,0,0,0.0,0
0,12.3,0,1,1.35,0
16,0.0,0,1,1.108,0
15,455.76,0,1,1.2637,0
19,273.22,0,1,1.1606,0
25,285.29,0,1,1.1674,0
23,451.26,0,0,0.0,0
20,654.37,0,1,1.3758,0
20,453.65,1,0,1.5943,0
12,650.86,0,1,2.3296,0
15,478.84,1,0,1.6085,0
9,170.74,0,2,4.5892,1
27,562.17,0,0,0.0,0
0,134.58,0,1,1.35,0
14,598.52,0,0,0.5351,0
23,458.71,0,2,3.7053,1
21,671.11,1,0,2.1671,0
12,5.6,0,0,0.3558,0
26,275.46,0,2,3.6019,1
20,704.78,1,1,3.8941,1
23,418.22,1,4,6.5053,2
20,434.16,0,1,1.2515,0
30,1395.4,0,0,0.4622,0
24,640.72,0,1,1.3681,0
26,639.78,0,0,0.0,0
0,330.06,0,1,1.35,0
14,518.4,0,1,2.1979,0
28,880.38,0,2,3.9309,1
21,797.14,0,0,0.0,0
21,259.44,0,0,0.0,0
20,213.42,0,0,0.0,0
20,895.46,0,1,1.4932,0
20,554.73,0,0,0.0,0
